"Population by Educational Attainment","Number"
"Beginners",""
"Female","142"
"Male","118"
"Graduate and Equivalent",""
"Female","18"
"Male","41"
"Intermediate and Equivalent",""
"Female","127"
"Male","127"
"Level not Stated",""
"Female","11"
"Male","12"
"Lower Secondary (Class 6-8)",""
"Female","765"
"Male","855"
"Non Formal Education",""
"Female","184"
"Male","131"
"Others",""
"Female","0"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","17"
"Primary Education (1-5 Class)",""
"Female","1879"
"Male","1969"
"Secondary Level (Class 9-10)",""
"Female","441"
"Male","575"
"SLC and Equivalent",""
"Female","469"
"Male","501"
