"Population by Educational Attainment","Number"
"Beginners",""
"Female","188"
"Male","245"
"","433"
"Graduate and Equivalent",""
"Female","2"
"Male","20"
"","22"
"Intermediate and Equivalent",""
"Female","32"
"Male","86"
"","118"
"Level not Stated",""
"Female","9"
"Male","9"
"","18"
"Lower Secondary (Class 6-8)",""
"Female","229"
"Male","583"
"","812"
"Non Formal Education",""
"Female","100"
"Male","64"
"","164"
"Others",""
"Female","1"
"Male","5"
"","6"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","0"
"","0"
"Primary Education (1-5 Class)",""
"Female","1247"
"Male","1344"
"","2591"
"Secondary Level (Class 9-10)",""
"Female","77"
"Male","253"
"","330"
"SLC and Equivalent",""
"Female","41"
"Male","134"
"","175"
