"Population by disability type","Number"
"Blind/low vision",""
"Female","54"
"Male","52"
"","106"
"Deaf/hard of hearing",""
"Female","56"
"Male","81"
"","137"
"Deaf-Blind",""
"Female","0"
"Male","3"
"","3"
"Intellectual disable",""
"Female","7"
"Male","2"
"","9"
"Mental disable",""
"Female","4"
"Male","6"
"","10"
"Multiple disable",""
"Female","21"
"Male","34"
"","55"
"No disability",""
"Female","4520"
"Male","4299"
"","8819"
"Physical",""
"Female","101"
"Male","148"
"","249"
"Speech problem",""
"Female","18"
"Male","26"
"","44"
