"Population by disability type","Number"
"Blind/low vision",""
"Female","136"
"Male","140"
"","276"
"Deaf/hard of hearing",""
"Female","78"
"Male","90"
"","168"
"Deaf-Blind",""
"Female","12"
"Male","21"
"","33"
"Intellectual disable",""
"Female","47"
"Male","46"
"","93"
"Mental disable",""
"Female","77"
"Male","133"
"","210"
"Multiple disable",""
"Female","74"
"Male","83"
"","157"
"No disability",""
"Female","104939"
"Male","107613"
"","212552"
"Physical",""
"Female","337"
"Male","535"
"","872"
"Speech problem",""
"Female","136"
"Male","166"
"","302"
