"Population by Educational Attainment","Number"
"Beginners",""
"Female","737"
"Male","950"
"Graduate and Equivalent",""
"Female","208"
"Male","375"
"Intermediate and Equivalent",""
"Female","914"
"Male","834"
"Level not Stated",""
"Female","39"
"Male","42"
"Lower Secondary (Class 6-8)",""
"Female","3977"
"Male","3767"
"Non Formal Education",""
"Female","681"
"Male","589"
"Others",""
"Female","12"
"Male","11"
"Post Graduate Equivalent and Above",""
"Female","36"
"Male","169"
"Primary Education (1-5 Class)",""
"Female","7624"
"Male","7902"
"Secondary Level (Class 9-10)",""
"Female","1840"
"Male","1791"
"SLC and Equivalent",""
"Female","1531"
"Male","1641"
