"Population by Educational Attainment","Number"
"Beginners",""
"Female","112"
"Male","155"
"Graduate and Equivalent",""
"Female","28"
"Male","122"
"Intermediate and Equivalent",""
"Female","58"
"Male","314"
"Level not Stated",""
"Female","123"
"Male","332"
"Lower Secondary (Class 6-8)",""
"Female","580"
"Male","1167"
"Non Formal Education",""
"Female","7"
"Male","5"
"Others",""
"Female","6"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","26"
"Primary Education (1-5 Class)",""
"Female","1862"
"Male","2717"
"Secondary Level (Class 9-10)",""
"Female","211"
"Male","598"
"SLC and Equivalent",""
"Female","138"
"Male","516"
