"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","41"
"","73"
"Deaf/hard of hearing",""
"Female","7"
"Male","11"
"","18"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","3"
"Male","11"
"","14"
"Mental disable",""
"Female","10"
"Male","17"
"","27"
"Multiple disable",""
"Female","10"
"Male","15"
"","25"
"No disability",""
"Female","19147"
"Male","19509"
"","38656"
"Physical",""
"Female","34"
"Male","72"
"","106"
"Speech problem",""
"Female","14"
"Male","16"
"","30"
