"Population by disability type","Number"
"Blind/low vision",""
"Female","60"
"Male","49"
"","109"
"Deaf/hard of hearing",""
"Female","41"
"Male","52"
"","93"
"Deaf-Blind",""
"Female","5"
"Male","4"
"","9"
"Intellectual disable",""
"Female","5"
"Male","3"
"","8"
"Mental disable",""
"Female","5"
"Male","3"
"","8"
"Multiple disable",""
"Female","10"
"Male","13"
"","23"
"No disability",""
"Female","5922"
"Male","5886"
"","11808"
"Physical",""
"Female","64"
"Male","80"
"","144"
"Speech problem",""
"Female","11"
"Male","25"
"","36"
