"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","25"
"","64"
"Deaf/hard of hearing",""
"Female","49"
"Male","39"
"","88"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","4"
"Male","14"
"","18"
"Mental disable",""
"Female","11"
"Male","9"
"","20"
"Multiple disable",""
"Female","14"
"Male","9"
"","23"
"No disability",""
"Female","11451"
"Male","9483"
"","20934"
"Physical",""
"Female","92"
"Male","140"
"","232"
"Speech problem",""
"Female","27"
"Male","41"
"","68"
