"Population by disability type","Number"
"Blind/low vision",""
"Female","24"
"Male","11"
"","35"
"Deaf/hard of hearing",""
"Female","10"
"Male","10"
"","20"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","0"
"Male","4"
"","4"
"Mental disable",""
"Female","2"
"Male","0"
"","2"
"Multiple disable",""
"Female","5"
"Male","3"
"","8"
"No disability",""
"Female","2791"
"Male","2570"
"","5361"
"Physical",""
"Female","34"
"Male","54"
"","88"
"Speech problem",""
"Female","8"
"Male","5"
"","13"
