"Population by disability type","Number"
"Blind/low vision",""
"Female","40"
"Male","31"
"","71"
"Deaf/hard of hearing",""
"Female","50"
"Male","57"
"","107"
"Deaf-Blind",""
"Female","7"
"Male","3"
"","10"
"Intellectual disable",""
"Female","7"
"Male","15"
"","22"
"Mental disable",""
"Female","12"
"Male","12"
"","24"
"Multiple disable",""
"Female","11"
"Male","7"
"","18"
"No disability",""
"Female","11491"
"Male","9432"
"","20923"
"Physical",""
"Female","86"
"Male","104"
"","190"
"Speech problem",""
"Female","42"
"Male","47"
"","89"
