"Population by Educational Attainment","Number"
"Beginners",""
"Female","244"
"Male","279"
"","523"
"Graduate and Equivalent",""
"Female","57"
"Male","152"
"","209"
"Intermediate and Equivalent",""
"Female","273"
"Male","320"
"","593"
"Level not Stated",""
"Female","16"
"Male","14"
"","30"
"Lower Secondary (Class 6-8)",""
"Female","1678"
"Male","1542"
"","3220"
"Non Formal Education",""
"Female","185"
"Male","167"
"","352"
"Others",""
"Female","0"
"Male","1"
"","1"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","58"
"","68"
"Primary Education (1-5 Class)",""
"Female","2597"
"Male","2810"
"","5407"
"Secondary Level (Class 9-10)",""
"Female","1022"
"Male","967"
"","1989"
"SLC and Equivalent",""
"Female","774"
"Male","822"
"","1596"
