"Population by disability type","Number"
"Blind/low vision",""
"Female","59"
"Male","45"
"","104"
"Deaf/hard of hearing",""
"Female","29"
"Male","43"
"","72"
"Deaf-Blind",""
"Female","7"
"Male","9"
"","16"
"Intellectual disable",""
"Female","7"
"Male","1"
"","8"
"Mental disable",""
"Female","9"
"Male","16"
"","25"
"Multiple disable",""
"Female","20"
"Male","23"
"","43"
"No disability",""
"Female","11328"
"Male","10183"
"","21511"
"Physical",""
"Female","109"
"Male","123"
"","232"
"Speech problem",""
"Female","21"
"Male","28"
"","49"
