"Population by Mother tongue","Number"
"Achhami",""
"Female","4"
"Male","7"
"","11"
"Bajhangi",""
"Female","3"
"Male","8"
"","11"
"Bangla",""
"Female","6"
"Male","25"
"","31"
"Bantawa",""
"Female","6"
"Male","7"
"","13"
"Bhojpuri",""
"Female","239"
"Male","529"
"","768"
"Chamling",""
"Female","7"
"Male","7"
"","14"
"Doteli",""
"Female","22"
"Male","33"
"","55"
"English",""
"Female","8"
"Male","17"
"","25"
"Gurung",""
"Female","211"
"Male","218"
"","429"
"Hindi",""
"Female","122"
"Male","255"
"","377"
"Kham",""
"Female","14"
"Male","12"
"","26"
"Lapcha",""
"Female","81"
"Male","66"
"","147"
"Limbu",""
"Female","49"
"Male","75"
"","124"
"Magar",""
"Female","505"
"Male","576"
"","1081"
"Maithili",""
"Female","443"
"Male","1017"
"","1460"
"Majhi",""
"Female","18"
"Male","22"
"","40"
"Nepali",""
"Female","26095"
"Male","25614"
"","51709"
"Newar",""
"Female","10735"
"Male","10320"
"","21055"
"Not Reported",""
"Female","12"
"Male","22"
"","34"
"Others",""
"Female","62"
"Male","78"
"","140"
"Rai",""
"Female","148"
"Male","145"
"","293"
"Rajbanshi",""
"Female","14"
"Male","24"
"","38"
"Rajsthani",""
"Female","14"
"Male","18"
"","32"
"Sherpa",""
"Female","22"
"Male","21"
"","43"
"Sunuwar",""
"Female","17"
"Male","12"
"","29"
"Tamang",""
"Female","3226"
"Male","3376"
"","6602"
"Thami",""
"Female","9"
"Male","9"
"","18"
"Tharu",""
"Female","178"
"Male","238"
"","416"
"Urdu",""
"Female","47"
"Male","130"
"","177"
