"Population by Educational Attainment","Number"
"Beginners",""
"Female","1033"
"Male","1189"
"","2222"
"Graduate and Equivalent",""
"Female","1450"
"Male","2478"
"","3928"
"Intermediate and Equivalent",""
"Female","3727"
"Male","4300"
"","8027"
"Level not Stated",""
"Female","103"
"Male","127"
"","230"
"Lower Secondary (Class 6-8)",""
"Female","5263"
"Male","6423"
"","11686"
"Non Formal Education",""
"Female","1443"
"Male","1175"
"","2618"
"Others",""
"Female","30"
"Male","31"
"","61"
"Post Graduate Equivalent and Above",""
"Female","408"
"Male","1033"
"","1441"
"Primary Education (1-5 Class)",""
"Female","7761"
"Male","8626"
"","16387"
"Secondary Level (Class 9-10)",""
"Female","3876"
"Male","4673"
"","8549"
"SLC and Equivalent",""
"Female","3990"
"Male","5221"
"","9211"
