"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","41"
"","92"
"Deaf/hard of hearing",""
"Female","29"
"Male","33"
"","62"
"Deaf-Blind",""
"Female","1"
"Male","10"
"","11"
"Intellectual disable",""
"Female","12"
"Male","2"
"","14"
"Mental disable",""
"Female","10"
"Male","11"
"","21"
"Multiple disable",""
"Female","25"
"Male","30"
"","55"
"No disability",""
"Female","7061"
"Male","6027"
"","13088"
"Physical",""
"Female","84"
"Male","116"
"","200"
"Speech problem",""
"Female","23"
"Male","25"
"","48"
