"Population by disability type","Number"
"Blind/low vision",""
"Female","27"
"Male","28"
"","55"
"Deaf/hard of hearing",""
"Female","40"
"Male","37"
"","77"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","5"
"Male","2"
"","7"
"Mental disable",""
"Female","11"
"Male","15"
"","26"
"Multiple disable",""
"Female","12"
"Male","27"
"","39"
"No disability",""
"Female","14208"
"Male","11501"
"","25709"
"Physical",""
"Female","98"
"Male","140"
"","238"
"Speech problem",""
"Female","26"
"Male","28"
"","54"
