"Population by Educational Attainment","Number"
"Beginners",""
"Female","267"
"Male","273"
"","540"
"Graduate and Equivalent",""
"Female","71"
"Male","138"
"","209"
"Intermediate and Equivalent",""
"Female","172"
"Male","341"
"","513"
"Level not Stated",""
"Female","24"
"Male","15"
"","39"
"Lower Secondary (Class 6-8)",""
"Female","1862"
"Male","2168"
"","4030"
"Non Formal Education",""
"Female","330"
"Male","390"
"","720"
"Others",""
"Female","2"
"Male","5"
"","7"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","25"
"","29"
"Primary Education (1-5 Class)",""
"Female","4149"
"Male","4808"
"","8957"
"Secondary Level (Class 9-10)",""
"Female","1122"
"Male","1299"
"","2421"
"SLC and Equivalent",""
"Female","703"
"Male","848"
"","1551"
