"Population by disability type","Number"
"Blind/low vision",""
"Female","59"
"Male","58"
"","117"
"Deaf/hard of hearing",""
"Female","35"
"Male","40"
"","75"
"Deaf-Blind",""
"Female","9"
"Male","11"
"","20"
"Intellectual disable",""
"Female","14"
"Male","16"
"","30"
"Mental disable",""
"Female","23"
"Male","21"
"","44"
"Multiple disable",""
"Female","40"
"Male","37"
"","77"
"No disability",""
"Female","17602"
"Male","16338"
"","33940"
"Physical",""
"Female","84"
"Male","125"
"","209"
"Speech problem",""
"Female","32"
"Male","57"
"","89"
