"Population by Educational Attainment","Number"
"Beginners",""
"Female","186"
"Male","214"
"Graduate and Equivalent",""
"Female","22"
"Male","54"
"Intermediate and Equivalent",""
"Female","89"
"Male","122"
"Level not Stated",""
"Female","22"
"Male","20"
"Lower Secondary (Class 6-8)",""
"Female","1648"
"Male","1213"
"Non Formal Education",""
"Female","226"
"Male","143"
"Others",""
"Female","7"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","12"
"Primary Education (1-5 Class)",""
"Female","3260"
"Male","3065"
"Secondary Level (Class 9-10)",""
"Female","486"
"Male","417"
"SLC and Equivalent",""
"Female","300"
"Male","352"
