"Population by Single Year of Age","Number"
"0",""
"Female","212"
"Male","205"
"1",""
"Female","139"
"Male","171"
"10",""
"Female","310"
"Male","289"
"11",""
"Female","278"
"Male","248"
"12",""
"Female","302"
"Male","313"
"13",""
"Female","311"
"Male","286"
"14",""
"Female","252"
"Male","219"
"15",""
"Female","306"
"Male","243"
"16",""
"Female","287"
"Male","247"
"17",""
"Female","275"
"Male","174"
"18",""
"Female","288"
"Male","201"
"19",""
"Female","216"
"Male","121"
"2",""
"Female","202"
"Male","215"
"20",""
"Female","232"
"Male","112"
"21",""
"Female","186"
"Male","86"
"22",""
"Female","216"
"Male","87"
"23",""
"Female","209"
"Male","59"
"24",""
"Female","166"
"Male","77"
"25",""
"Female","243"
"Male","95"
"26",""
"Female","160"
"Male","77"
"27",""
"Female","148"
"Male","51"
"28",""
"Female","160"
"Male","71"
"29",""
"Female","112"
"Male","48"
"3",""
"Female","207"
"Male","205"
"30",""
"Female","218"
"Male","79"
"31",""
"Female","88"
"Male","44"
"32",""
"Female","110"
"Male","48"
"33",""
"Female","91"
"Male","34"
"34",""
"Female","106"
"Male","37"
"35",""
"Female","186"
"Male","67"
"36",""
"Female","115"
"Male","52"
"37",""
"Female","71"
"Male","58"
"38",""
"Female","118"
"Male","59"
"39",""
"Female","83"
"Male","39"
"4",""
"Female","217"
"Male","197"
"40",""
"Female","219"
"Male","95"
"41",""
"Female","72"
"Male","39"
"42",""
"Female","109"
"Male","67"
"43",""
"Female","91"
"Male","57"
"44",""
"Female","75"
"Male","47"
"45",""
"Female","141"
"Male","98"
"46",""
"Female","122"
"Male","89"
"47",""
"Female","65"
"Male","57"
"48",""
"Female","130"
"Male","87"
"49",""
"Female","75"
"Male","54"
"5",""
"Female","239"
"Male","219"
"50",""
"Female","163"
"Male","142"
"51",""
"Female","82"
"Male","68"
"52",""
"Female","105"
"Male","67"
"53",""
"Female","96"
"Male","71"
"54",""
"Female","73"
"Male","54"
"55",""
"Female","93"
"Male","91"
"56",""
"Female","84"
"Male","79"
"57",""
"Female","62"
"Male","55"
"58",""
"Female","82"
"Male","63"
"59",""
"Female","66"
"Male","59"
"6",""
"Female","225"
"Male","246"
"60",""
"Female","127"
"Male","118"
"61",""
"Female","64"
"Male","53"
"62",""
"Female","73"
"Male","77"
"63",""
"Female","54"
"Male","52"
"64",""
"Female","47"
"Male","39"
"65",""
"Female","90"
"Male","54"
"66",""
"Female","46"
"Male","31"
"67",""
"Female","49"
"Male","37"
"68",""
"Female","60"
"Male","75"
"69",""
"Female","23"
"Male","25"
"7",""
"Female","261"
"Male","230"
"70",""
"Female","93"
"Male","65"
"71",""
"Female","17"
"Male","33"
"72",""
"Female","26"
"Male","44"
"73",""
"Female","18"
"Male","33"
"74",""
"Female","15"
"Male","24"
"75",""
"Female","42"
"Male","23"
"76",""
"Female","22"
"Male","27"
"77",""
"Female","14"
"Male","20"
"78",""
"Female","21"
"Male","20"
"79",""
"Female","11"
"Male","11"
"8",""
"Female","257"
"Male","281"
"80",""
"Female","31"
"Male","21"
"81",""
"Female","9"
"Male","10"
"82",""
"Female","14"
"Male","11"
"83",""
"Female","7"
"Male","10"
"84",""
"Female","10"
"Male","10"
"85",""
"Female","51"
"Male","50"
"9",""
"Female","252"
"Male","223"
