"Industries Employment","Number"
"Accommodation,  food",""
"Female","1140"
"Male","909"
"Administrative, support service",""
"Female","2"
"Male","17"
"Agriculture, forestry and  fishing",""
"Female","807"
"Male","1377"
"Arts, entertainment, recreation",""
"Female","8"
"Male","54"
"Construction",""
"Female","12"
"Male","68"
"Education",""
"Female","1564"
"Male","2110"
"Electricity, gas and water",""
"Female","60"
"Male","1825"
"Financial intermediation and insurance",""
"Female","548"
"Male","549"
"Health, social work",""
"Female","1468"
"Male","581"
"Information and communication",""
"Female","51"
"Male","97"
"Manufacturing",""
"Female","477"
"Male","1421"
"Other service activities",""
"Female","654"
"Male","939"
"Professional, scientific, techniqual activity",""
"Female","13"
"Male","53"
"Real estate, renting and business activity",""
"Female","11"
"Male","8"
"Transportation,  storage",""
"Female","19"
"Male","74"
"Water supply, wet management",""
"Female","21"
"Male","68"
"Wholesale, retail trade",""
"Female","2338"
"Male","2817"
