"Population by disability type","Number"
"Blind/low vision",""
"Female","47"
"Male","43"
"","90"
"Deaf/hard of hearing",""
"Female","39"
"Male","45"
"","84"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","9"
"Male","12"
"","21"
"Mental disable",""
"Female","21"
"Male","12"
"","33"
"Multiple disable",""
"Female","30"
"Male","22"
"","52"
"No disability",""
"Female","12972"
"Male","10377"
"","23349"
"Physical",""
"Female","96"
"Male","86"
"","182"
"Speech problem",""
"Female","28"
"Male","39"
"","67"
