"Population by disability type","Number"
"Blind/low vision",""
"Female","42"
"Male","37"
"","79"
"Deaf/hard of hearing",""
"Female","2"
"Male","5"
"","7"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","4"
"Male","6"
"","10"
"Mental disable",""
"Female","4"
"Male","16"
"","20"
"Multiple disable",""
"Female","17"
"Male","20"
"","37"
"No disability",""
"Female","19810"
"Male","20893"
"","40703"
"Physical",""
"Female","39"
"Male","71"
"","110"
"Speech problem",""
"Female","11"
"Male","21"
"","32"
