"Population by disability type","Number"
"Blind/low vision",""
"Female","57"
"Male","59"
"","116"
"Deaf/hard of hearing",""
"Female","32"
"Male","30"
"","62"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","9"
"Male","12"
"","21"
"Mental disable",""
"Female","23"
"Male","23"
"","46"
"Multiple disable",""
"Female","16"
"Male","32"
"","48"
"No disability",""
"Female","27817"
"Male","27704"
"","55521"
"Physical",""
"Female","107"
"Male","187"
"","294"
"Speech problem",""
"Female","46"
"Male","58"
"","104"
