"Population by Mother tongue","Number"
"Bangla",""
"Female","6"
"Male","11"
"","17"
"Bantawa",""
"Female","97"
"Male","83"
"","180"
"Bhojpuri",""
"Female","50"
"Male","67"
"","117"
"Chamling",""
"Female","70"
"Male","64"
"","134"
"Danuwar",""
"Female","48"
"Male","49"
"","97"
"Dhimal",""
"Female","385"
"Male","359"
"","744"
"Gurung",""
"Female","44"
"Male","35"
"","79"
"Hindi",""
"Female","6"
"Male","16"
"","22"
"Khaling",""
"Female","16"
"Male","12"
"","28"
"Kisan",""
"Female","36"
"Male","34"
"","70"
"Kulung",""
"Female","40"
"Male","31"
"","71"
"Kumal",""
"Female","7"
"Male","6"
"","13"
"Lapcha",""
"Female","29"
"Male","39"
"","68"
"Limbu",""
"Female","2395"
"Male","2127"
"","4522"
"Lohorung",""
"Female","10"
"Male","10"
"","20"
"Magar",""
"Female","317"
"Male","296"
"","613"
"Maithili",""
"Female","161"
"Male","173"
"","334"
"Majhi",""
"Female","11"
"Male","10"
"","21"
"Nepali",""
"Female","16058"
"Male","14272"
"","30330"
"Newar",""
"Female","286"
"Male","275"
"","561"
"Not Reported",""
"Female","117"
"Male","118"
"","235"
"Others",""
"Female","91"
"Male","80"
"","171"
"Rai",""
"Female","640"
"Male","549"
"","1189"
"Rajbanshi",""
"Female","148"
"Male","159"
"","307"
"Sampang",""
"Female","6"
"Male","14"
"","20"
"Santhali",""
"Female","6"
"Male","7"
"","13"
"Sherpa",""
"Female","66"
"Male","54"
"","120"
"Sunuwar",""
"Female","26"
"Male","24"
"","50"
"Tamang",""
"Female","511"
"Male","443"
"","954"
"Tharu",""
"Female","200"
"Male","153"
"","353"
"Thulung",""
"Female","6"
"Male","8"
"","14"
"Urdu",""
"Female","47"
"Male","54"
"","101"
"Yakkha",""
"Female","7"
"Male","10"
"","17"
