"Population by disability type","Number"
"Blind/low vision",""
"Female","38"
"Male","63"
"","101"
"Deaf/hard of hearing",""
"Female","75"
"Male","89"
"","164"
"Deaf-Blind",""
"Female","3"
"Male","14"
"","17"
"Intellectual disable",""
"Female","18"
"Male","16"
"","34"
"Mental disable",""
"Female","38"
"Male","29"
"","67"
"Multiple disable",""
"Female","39"
"Male","40"
"","79"
"No disability",""
"Female","21530"
"Male","19106"
"","40636"
"Physical",""
"Female","131"
"Male","218"
"","349"
"Speech problem",""
"Female","71"
"Male","67"
"","138"
