"Population by disability type","Number"
"Blind/low vision",""
"Female","70"
"Male","54"
"","124"
"Deaf/hard of hearing",""
"Female","47"
"Male","73"
"","120"
"Deaf-Blind",""
"Female","5"
"Male","8"
"","13"
"Intellectual disable",""
"Female","9"
"Male","7"
"","16"
"Mental disable",""
"Female","16"
"Male","7"
"","23"
"Multiple disable",""
"Female","16"
"Male","16"
"","32"
"No disability",""
"Female","9356"
"Male","8187"
"","17543"
"Physical",""
"Female","198"
"Male","258"
"","456"
"Speech problem",""
"Female","15"
"Male","21"
"","36"
