"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","30"
"","61"
"Deaf/hard of hearing",""
"Female","43"
"Male","38"
"","81"
"Deaf-Blind",""
"Female","13"
"Male","9"
"","22"
"Intellectual disable",""
"Female","7"
"Male","2"
"","9"
"Mental disable",""
"Female","1"
"Male","6"
"","7"
"Multiple disable",""
"Female","8"
"Male","12"
"","20"
"No disability",""
"Female","5373"
"Male","4358"
"","9731"
"Physical",""
"Female","24"
"Male","35"
"","59"
"Speech problem",""
"Female","20"
"Male","22"
"","42"
