"Population by Educational Attainment","Number"
"Beginners",""
"Female","410"
"Male","540"
"","950"
"Graduate and Equivalent",""
"Female","66"
"Male","266"
"","332"
"Intermediate and Equivalent",""
"Female","376"
"Male","801"
"","1177"
"Level not Stated",""
"Female","31"
"Male","44"
"","75"
"Lower Secondary (Class 6-8)",""
"Female","2348"
"Male","3663"
"","6011"
"Non Formal Education",""
"Female","416"
"Male","623"
"","1039"
"Others",""
"Female","36"
"Male","26"
"","62"
"Post Graduate Equivalent and Above",""
"Female","16"
"Male","71"
"","87"
"Primary Education (1-5 Class)",""
"Female","6107"
"Male","7757"
"","13864"
"Secondary Level (Class 9-10)",""
"Female","992"
"Male","1777"
"","2769"
"SLC and Equivalent",""
"Female","896"
"Male","1840"
"","2736"
