"Population by disability type","Number"
"Blind/low vision",""
"Female","117"
"Male","100"
"","217"
"Deaf/hard of hearing",""
"Female","66"
"Male","98"
"","164"
"Deaf-Blind",""
"Female","12"
"Male","15"
"","27"
"Intellectual disable",""
"Female","14"
"Male","20"
"","34"
"Mental disable",""
"Female","26"
"Male","52"
"","78"
"Multiple disable",""
"Female","36"
"Male","65"
"","101"
"No disability",""
"Female","32468"
"Male","33117"
"","65585"
"Physical",""
"Female","120"
"Male","170"
"","290"
"Speech problem",""
"Female","67"
"Male","114"
"","181"
