"Population by Educational Attainment","Number"
"Beginners",""
"Female","231"
"Male","246"
"Graduate and Equivalent",""
"Female","113"
"Male","161"
"Intermediate and Equivalent",""
"Female","386"
"Male","321"
"Level not Stated",""
"Female","8"
"Male","7"
"Lower Secondary (Class 6-8)",""
"Female","2046"
"Male","1608"
"Non Formal Education",""
"Female","643"
"Male","627"
"Others",""
"Female","2"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","20"
"Male","65"
"Primary Education (1-5 Class)",""
"Female","2713"
"Male","2515"
"Secondary Level (Class 9-10)",""
"Female","1387"
"Male","1092"
"SLC and Equivalent",""
"Female","835"
"Male","799"
