"Population by Educational Attainment","Number"
"Beginners",""
"Female","517"
"Male","623"
"Graduate and Equivalent",""
"Female","123"
"Male","296"
"Intermediate and Equivalent",""
"Female","351"
"Male","692"
"Level not Stated",""
"Female","38"
"Male","51"
"Lower Secondary (Class 6-8)",""
"Female","2102"
"Male","3560"
"Non Formal Education",""
"Female","134"
"Male","120"
"Others",""
"Female","13"
"Male","8"
"Post Graduate Equivalent and Above",""
"Female","33"
"Male","81"
"Primary Education (1-5 Class)",""
"Female","5245"
"Male","7109"
"Secondary Level (Class 9-10)",""
"Female","997"
"Male","1842"
"SLC and Equivalent",""
"Female","396"
"Male","714"
