"Population by disability type","Number"
"Blind/low vision",""
"Female","13"
"Male","19"
"","32"
"Deaf/hard of hearing",""
"Female","17"
"Male","15"
"","32"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","0"
"Male","3"
"","3"
"Mental disable",""
"Female","5"
"Male","11"
"","16"
"Multiple disable",""
"Female","7"
"Male","6"
"","13"
"No disability",""
"Female","4849"
"Male","4374"
"","9223"
"Physical",""
"Female","36"
"Male","49"
"","85"
"Speech problem",""
"Female","6"
"Male","8"
"","14"
