"Population by Mother tongue","Number"
"Avadhi",""
"Female","5"
"Male","16"
"","21"
"Bajjika",""
"Female","5"
"Male","24"
"","29"
"Bangla",""
"Female","75"
"Male","314"
"","389"
"Bantawa",""
"Female","37"
"Male","38"
"","75"
"Belhare",""
"Female","5"
"Male","6"
"","11"
"Bhojpuri",""
"Female","865"
"Male","2545"
"","3410"
"Bhujel",""
"Female","207"
"Male","188"
"","395"
"Chepang",""
"Female","4"
"Male","14"
"","18"
"Chhantyal",""
"Female","216"
"Male","172"
"","388"
"Darai",""
"Female","11"
"Male","16"
"","27"
"Doteli",""
"Female","10"
"Male","18"
"","28"
"Dura",""
"Female","61"
"Male","47"
"","108"
"English",""
"Female","36"
"Male","57"
"","93"
"Ghale",""
"Female","69"
"Male","71"
"","140"
"Gurung",""
"Female","32403"
"Male","25370"
"","57773"
"Hindi",""
"Female","723"
"Male","1787"
"","2510"
"Hyolmo/Yholmo",""
"Female","94"
"Male","58"
"","152"
"Jirel",""
"Female","18"
"Male","12"
"","30"
"Kham",""
"Female","531"
"Male","465"
"","996"
"Kulung",""
"Female","11"
"Male","20"
"","31"
"Kumal",""
"Female","19"
"Male","25"
"","44"
"Limbu",""
"Female","94"
"Male","118"
"","212"
"Magar",""
"Female","5447"
"Male","5076"
"","10523"
"Maithili",""
"Female","636"
"Male","1647"
"","2283"
"Nepali",""
"Female","199603"
"Male","178060"
"","377663"
"Newar",""
"Female","5365"
"Male","5043"
"","10408"
"Not Reported",""
"Female","112"
"Male","132"
"","244"
"Oriya",""
"Female","21"
"Male","70"
"","91"
"Others",""
"Female","235"
"Male","283"
"","518"
"Punjabi",""
"Female","6"
"Male","7"
"","13"
"Rai",""
"Female","486"
"Male","550"
"","1036"
"Rajbanshi",""
"Female","8"
"Male","11"
"","19"
"Rajsthani",""
"Female","9"
"Male","8"
"","17"
"Sanskrit",""
"Female","4"
"Male","8"
"","12"
"Santhali",""
"Female","25"
"Male","24"
"","49"
"Sherpa",""
"Female","81"
"Male","93"
"","174"
"Sign Language",""
"Female","15"
"Male","25"
"","40"
"Sunuwar",""
"Female","15"
"Male","18"
"","33"
"Tamang",""
"Female","3549"
"Male","3489"
"","7038"
"Thakali",""
"Female","538"
"Male","446"
"","984"
"Tharu",""
"Female","302"
"Male","714"
"","1016"
"Tibetan",""
"Female","11"
"Male","14"
"","25"
"Uranw/Urau",""
"Female","4"
"Male","9"
"","13"
"Urdu",""
"Female","902"
"Male","958"
"","1860"
"Yakkha",""
"Female","5"
"Male","8"
"","13"
