"Population by disability type","Number"
"Blind/low vision",""
"Female","738"
"Male","717"
"","1455"
"Deaf/hard of hearing",""
"Female","727"
"Male","740"
"","1467"
"Deaf-Blind",""
"Female","89"
"Male","76"
"","165"
"Intellectual disable",""
"Female","122"
"Male","167"
"","289"
"Mental disable",""
"Female","280"
"Male","367"
"","647"
"Multiple disable",""
"Female","404"
"Male","386"
"","790"
"No disability",""
"Female","248705"
"Male","223172"
"","471877"
"Physical",""
"Female","1321"
"Male","1845"
"","3166"
"Speech problem",""
"Female","492"
"Male","604"
"","1096"
