"Population by Single Year of Age","Number"
"0",""
"Female","416"
"Male","365"
"1",""
"Female","325"
"Male","361"
"10",""
"Female","566"
"Male","595"
"11",""
"Female","375"
"Male","379"
"12",""
"Female","629"
"Male","598"
"13",""
"Female","453"
"Male","417"
"14",""
"Female","515"
"Male","469"
"15",""
"Female","456"
"Male","442"
"16",""
"Female","402"
"Male","405"
"17",""
"Female","341"
"Male","287"
"18",""
"Female","488"
"Male","454"
"19",""
"Female","314"
"Male","278"
"2",""
"Female","449"
"Male","474"
"20",""
"Female","421"
"Male","326"
"21",""
"Female","322"
"Male","285"
"22",""
"Female","421"
"Male","384"
"23",""
"Female","248"
"Male","262"
"24",""
"Female","268"
"Male","340"
"25",""
"Female","386"
"Male","505"
"26",""
"Female","276"
"Male","363"
"27",""
"Female","218"
"Male","295"
"28",""
"Female","324"
"Male","455"
"29",""
"Female","147"
"Male","222"
"3",""
"Female","413"
"Male","463"
"30",""
"Female","379"
"Male","355"
"31",""
"Female","117"
"Male","143"
"32",""
"Female","258"
"Male","254"
"33",""
"Female","166"
"Male","152"
"34",""
"Female","150"
"Male","154"
"35",""
"Female","393"
"Male","424"
"36",""
"Female","173"
"Male","191"
"37",""
"Female","92"
"Male","106"
"38",""
"Female","209"
"Male","193"
"39",""
"Female","103"
"Male","111"
"4",""
"Female","466"
"Male","507"
"40",""
"Female","406"
"Male","376"
"41",""
"Female","104"
"Male","96"
"42",""
"Female","152"
"Male","164"
"43",""
"Female","81"
"Male","103"
"44",""
"Female","73"
"Male","80"
"45",""
"Female","286"
"Male","313"
"46",""
"Female","91"
"Male","101"
"47",""
"Female","49"
"Male","88"
"48",""
"Female","125"
"Male","158"
"49",""
"Female","60"
"Male","57"
"5",""
"Female","498"
"Male","475"
"50",""
"Female","245"
"Male","266"
"51",""
"Female","55"
"Male","85"
"52",""
"Female","73"
"Male","108"
"53",""
"Female","47"
"Male","70"
"54",""
"Female","37"
"Male","49"
"55",""
"Female","162"
"Male","174"
"56",""
"Female","63"
"Male","67"
"57",""
"Female","37"
"Male","56"
"58",""
"Female","88"
"Male","75"
"59",""
"Female","38"
"Male","47"
"6",""
"Female","413"
"Male","433"
"60",""
"Female","214"
"Male","179"
"61",""
"Female","58"
"Male","59"
"62",""
"Female","61"
"Male","73"
"63",""
"Female","42"
"Male","51"
"64",""
"Female","26"
"Male","24"
"65",""
"Female","129"
"Male","119"
"66",""
"Female","30"
"Male","37"
"67",""
"Female","30"
"Male","32"
"68",""
"Female","47"
"Male","41"
"69",""
"Female","16"
"Male","28"
"7",""
"Female","447"
"Male","416"
"70",""
"Female","77"
"Male","80"
"71",""
"Female","8"
"Male","11"
"72",""
"Female","20"
"Male","23"
"73",""
"Female","8"
"Male","16"
"74",""
"Female","4"
"Male","7"
"75",""
"Female","25"
"Male","28"
"76",""
"Female","8"
"Male","9"
"77",""
"Female","6"
"Male","9"
"78",""
"Female","11"
"Male","19"
"79",""
"Female","3"
"Male","6"
"8",""
"Female","493"
"Male","473"
"80",""
"Female","22"
"Male","21"
"81",""
"Female","1"
"Male","5"
"82",""
"Female","2"
"Male","3"
"83",""
"Female","0"
"Male","3"
"84",""
"Female","1"
"Male","5"
"85",""
"Female","22"
"Male","28"
"9",""
"Female","409"
"Male","371"
