"Population by Educational Attainment","Number"
"Beginners",""
"Female","349"
"Male","427"
"Graduate and Equivalent",""
"Female","63"
"Male","161"
"Intermediate and Equivalent",""
"Female","247"
"Male","346"
"Level not Stated",""
"Female","28"
"Male","30"
"Lower Secondary (Class 6-8)",""
"Female","1877"
"Male","2489"
"Non Formal Education",""
"Female","369"
"Male","497"
"Others",""
"Female","0"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","38"
"Primary Education (1-5 Class)",""
"Female","4282"
"Male","5022"
"Secondary Level (Class 9-10)",""
"Female","892"
"Male","1131"
"SLC and Equivalent",""
"Female","651"
"Male","850"
