"Population by disability type","Number"
"Blind/low vision",""
"Female","8"
"Male","24"
"","32"
"Deaf/hard of hearing",""
"Female","5"
"Male","9"
"","14"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","1"
"Male","3"
"","4"
"Mental disable",""
"Female","3"
"Male","8"
"","11"
"Multiple disable",""
"Female","2"
"Male","6"
"","8"
"No disability",""
"Female","10152"
"Male","10811"
"","20963"
"Physical",""
"Female","25"
"Male","53"
"","78"
"Speech problem",""
"Female","5"
"Male","23"
"","28"
