"Population by disability type","Number"
"Blind/low vision",""
"Female","8"
"Male","11"
"","19"
"Deaf/hard of hearing",""
"Female","12"
"Male","16"
"","28"
"Deaf-Blind",""
"Female","0"
"Male","2"
"","2"
"Intellectual disable",""
"Female","2"
"Male","2"
"","4"
"Mental disable",""
"Female","3"
"Male","2"
"","5"
"Multiple disable",""
"Female","3"
"Male","2"
"","5"
"No disability",""
"Female","5051"
"Male","4501"
"","9552"
"Physical",""
"Female","24"
"Male","51"
"","75"
"Speech problem",""
"Female","10"
"Male","9"
"","19"
