"Population by Educational Attainment","Number"
"Beginners",""
"Female","333"
"Male","445"
"","778"
"Graduate and Equivalent",""
"Female","42"
"Male","120"
"","162"
"Intermediate and Equivalent",""
"Female","248"
"Male","261"
"","509"
"Level not Stated",""
"Female","26"
"Male","18"
"","44"
"Lower Secondary (Class 6-8)",""
"Female","2035"
"Male","1581"
"","3616"
"Non Formal Education",""
"Female","560"
"Male","444"
"","1004"
"Others",""
"Female","4"
"Male","1"
"","5"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","53"
"","58"
"Primary Education (1-5 Class)",""
"Female","3548"
"Male","3191"
"","6739"
"Secondary Level (Class 9-10)",""
"Female","1162"
"Male","943"
"","2105"
"SLC and Equivalent",""
"Female","879"
"Male","767"
"","1646"
