"Population by Caste Ethinicity","Number"
"Bote",""
"Female","41"
"Male","49"
"","90"
"Brahman - Hill",""
"Female","4275"
"Male","3085"
"","7360"
"Chhetri",""
"Female","1333"
"Male","926"
"","2259"
"Damai/Dholi",""
"Female","643"
"Male","502"
"","1145"
"Gharti/Bhujel",""
"Female","85"
"Male","57"
"","142"
"Gurung",""
"Female","31"
"Male","17"
"","48"
"Kami",""
"Female","1664"
"Male","1171"
"","2835"
"Magar",""
"Female","4295"
"Male","3432"
"","7727"
"Mali",""
"Female","56"
"Male","35"
"","91"
"Musalman",""
"Female","34"
"Male","27"
"","61"
"Newar",""
"Female","256"
"Male","217"
"","473"
"Others",""
"Female","22"
"Male","26"
"","48"
"Sanyasi/Dasnami",""
"Female","250"
"Male","145"
"","395"
"Sarki",""
"Female","398"
"Male","273"
"","671"
"Tamang",""
"Female","9"
"Male","12"
"","21"
"Terai Others",""
"Female","7"
"Male","8"
"","15"
"Thakali",""
"Female","6"
"Male","5"
"","11"
"Thakuri",""
"Female","232"
"Male","169"
"","401"
"Tharu",""
"Female","8"
"Male","6"
"","14"
