"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","42"
"","86"
"Deaf/hard of hearing",""
"Female","24"
"Male","42"
"","66"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","5"
"Male","9"
"","14"
"Mental disable",""
"Female","14"
"Male","19"
"","33"
"Multiple disable",""
"Female","7"
"Male","9"
"","16"
"No disability",""
"Female","9325"
"Male","8625"
"","17950"
"Physical",""
"Female","137"
"Male","167"
"","304"
"Speech problem",""
"Female","26"
"Male","31"
"","57"
