"Population by disability type","Number"
"Blind/low vision",""
"Female","84"
"Male","80"
"","164"
"Deaf/hard of hearing",""
"Female","43"
"Male","74"
"","117"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","9"
"Male","10"
"","19"
"Mental disable",""
"Female","35"
"Male","36"
"","71"
"Multiple disable",""
"Female","41"
"Male","45"
"","86"
"No disability",""
"Female","10338"
"Male","9925"
"","20263"
"Physical",""
"Female","95"
"Male","173"
"","268"
"Speech problem",""
"Female","18"
"Male","30"
"","48"
