"Population by disability type","Number"
"Blind/low vision",""
"Female","42"
"Male","45"
"","87"
"Deaf/hard of hearing",""
"Female","51"
"Male","48"
"","99"
"Deaf-Blind",""
"Female","11"
"Male","3"
"","14"
"Intellectual disable",""
"Female","10"
"Male","6"
"","16"
"Mental disable",""
"Female","19"
"Male","27"
"","46"
"Multiple disable",""
"Female","21"
"Male","21"
"","42"
"No disability",""
"Female","29713"
"Male","29927"
"","59640"
"Physical",""
"Female","103"
"Male","110"
"","213"
"Speech problem",""
"Female","34"
"Male","46"
"","80"
