"Population by disability type","Number"
"Blind/low vision",""
"Female","20"
"Male","26"
"","46"
"Deaf/hard of hearing",""
"Female","29"
"Male","59"
"","88"
"Deaf-Blind",""
"Female","2"
"Male","5"
"","7"
"Intellectual disable",""
"Female","9"
"Male","15"
"","24"
"Mental disable",""
"Female","19"
"Male","18"
"","37"
"Multiple disable",""
"Female","21"
"Male","21"
"","42"
"No disability",""
"Female","7785"
"Male","7059"
"","14844"
"Physical",""
"Female","52"
"Male","81"
"","133"
"Speech problem",""
"Female","28"
"Male","39"
"","67"
