"Population by Single Year of Age","Number"
"0",""
"Female","166"
"Male","207"
"1",""
"Female","196"
"Male","195"
"10",""
"Female","241"
"Male","262"
"11",""
"Female","156"
"Male","168"
"12",""
"Female","253"
"Male","262"
"13",""
"Female","162"
"Male","164"
"14",""
"Female","213"
"Male","205"
"15",""
"Female","177"
"Male","152"
"16",""
"Female","163"
"Male","179"
"17",""
"Female","56"
"Male","82"
"18",""
"Female","204"
"Male","195"
"19",""
"Female","78"
"Male","80"
"2",""
"Female","218"
"Male","249"
"20",""
"Female","150"
"Male","129"
"21",""
"Female","109"
"Male","92"
"22",""
"Female","151"
"Male","115"
"23",""
"Female","96"
"Male","90"
"24",""
"Female","93"
"Male","77"
"25",""
"Female","144"
"Male","122"
"26",""
"Female","88"
"Male","74"
"27",""
"Female","64"
"Male","53"
"28",""
"Female","108"
"Male","100"
"29",""
"Female","44"
"Male","35"
"3",""
"Female","245"
"Male","234"
"30",""
"Female","177"
"Male","146"
"31",""
"Female","48"
"Male","42"
"32",""
"Female","95"
"Male","106"
"33",""
"Female","47"
"Male","57"
"34",""
"Female","46"
"Male","55"
"35",""
"Female","153"
"Male","132"
"36",""
"Female","57"
"Male","77"
"37",""
"Female","27"
"Male","36"
"38",""
"Female","74"
"Male","69"
"39",""
"Female","31"
"Male","29"
"4",""
"Female","259"
"Male","262"
"40",""
"Female","139"
"Male","111"
"41",""
"Female","30"
"Male","48"
"42",""
"Female","45"
"Male","48"
"43",""
"Female","19"
"Male","32"
"44",""
"Female","21"
"Male","24"
"45",""
"Female","121"
"Male","88"
"46",""
"Female","43"
"Male","45"
"47",""
"Female","26"
"Male","19"
"48",""
"Female","53"
"Male","75"
"49",""
"Female","18"
"Male","31"
"5",""
"Female","257"
"Male","284"
"50",""
"Female","102"
"Male","107"
"51",""
"Female","17"
"Male","30"
"52",""
"Female","31"
"Male","49"
"53",""
"Female","11"
"Male","15"
"54",""
"Female","15"
"Male","22"
"55",""
"Female","82"
"Male","75"
"56",""
"Female","23"
"Male","27"
"57",""
"Female","22"
"Male","25"
"58",""
"Female","26"
"Male","45"
"59",""
"Female","32"
"Male","35"
"6",""
"Female","222"
"Male","227"
"60",""
"Female","119"
"Male","71"
"61",""
"Female","51"
"Male","37"
"62",""
"Female","56"
"Male","38"
"63",""
"Female","20"
"Male","15"
"64",""
"Female","19"
"Male","16"
"65",""
"Female","56"
"Male","60"
"66",""
"Female","7"
"Male","19"
"67",""
"Female","12"
"Male","8"
"68",""
"Female","13"
"Male","17"
"69",""
"Female","2"
"Male","6"
"7",""
"Female","204"
"Male","200"
"70",""
"Female","39"
"Male","29"
"71",""
"Female","8"
"Male","8"
"72",""
"Female","3"
"Male","11"
"73",""
"Female","2"
"Male","0"
"74",""
"Female","5"
"Male","2"
"75",""
"Female","21"
"Male","20"
"76",""
"Female","1"
"Male","5"
"77",""
"Female","2"
"Male","4"
"78",""
"Female","2"
"Male","5"
"79",""
"Female","0"
"Male","3"
"8",""
"Female","257"
"Male","274"
"80",""
"Female","11"
"Male","10"
"81",""
"Female","0"
"Male","2"
"82",""
"Female","0"
"Male","3"
"83",""
"Female","1"
"Male","1"
"85",""
"Female","8"
"Male","8"
"9",""
"Female","191"
"Male","160"
