"Population by Educational Attainment","Number"
"Beginners",""
"Female","297"
"Male","402"
"Graduate and Equivalent",""
"Female","138"
"Male","406"
"Intermediate and Equivalent",""
"Female","331"
"Male","674"
"Level not Stated",""
"Female","113"
"Male","225"
"Lower Secondary (Class 6-8)",""
"Female","1656"
"Male","2359"
"Non Formal Education",""
"Female","75"
"Male","103"
"Others",""
"Female","3"
"Male","7"
"Post Graduate Equivalent and Above",""
"Female","12"
"Male","77"
"Primary Education (1-5 Class)",""
"Female","3357"
"Male","4225"
"Secondary Level (Class 9-10)",""
"Female","731"
"Male","1397"
"SLC and Equivalent",""
"Female","726"
"Male","1377"
