"Population by Single Year of Age","Number"
"0",""
"Female","406"
"Male","432"
"1",""
"Female","264"
"Male","270"
"10",""
"Female","851"
"Male","929"
"11",""
"Female","353"
"Male","387"
"12",""
"Female","609"
"Male","690"
"13",""
"Female","451"
"Male","424"
"14",""
"Female","539"
"Male","502"
"15",""
"Female","538"
"Male","643"
"16",""
"Female","445"
"Male","476"
"17",""
"Female","320"
"Male","340"
"18",""
"Female","479"
"Male","552"
"19",""
"Female","226"
"Male","241"
"2",""
"Female","495"
"Male","519"
"20",""
"Female","704"
"Male","629"
"21",""
"Female","163"
"Male","199"
"22",""
"Female","438"
"Male","401"
"23",""
"Female","236"
"Male","265"
"24",""
"Female","229"
"Male","282"
"25",""
"Female","832"
"Male","659"
"26",""
"Female","193"
"Male","221"
"27",""
"Female","218"
"Male","234"
"28",""
"Female","430"
"Male","333"
"29",""
"Female","87"
"Male","158"
"3",""
"Female","491"
"Male","523"
"30",""
"Female","866"
"Male","804"
"31",""
"Female","66"
"Male","83"
"32",""
"Female","388"
"Male","305"
"33",""
"Female","107"
"Male","101"
"34",""
"Female","93"
"Male","101"
"35",""
"Female","938"
"Male","800"
"36",""
"Female","150"
"Male","154"
"37",""
"Female","107"
"Male","88"
"38",""
"Female","299"
"Male","207"
"39",""
"Female","62"
"Male","74"
"4",""
"Female","404"
"Male","426"
"40",""
"Female","768"
"Male","869"
"41",""
"Female","38"
"Male","56"
"42",""
"Female","183"
"Male","198"
"43",""
"Female","68"
"Male","73"
"44",""
"Female","56"
"Male","87"
"45",""
"Female","638"
"Male","636"
"46",""
"Female","65"
"Male","84"
"47",""
"Female","37"
"Male","74"
"48",""
"Female","159"
"Male","132"
"49",""
"Female","34"
"Male","47"
"5",""
"Female","625"
"Male","726"
"50",""
"Female","447"
"Male","616"
"51",""
"Female","30"
"Male","42"
"52",""
"Female","75"
"Male","89"
"53",""
"Female","36"
"Male","34"
"54",""
"Female","28"
"Male","37"
"55",""
"Female","383"
"Male","430"
"56",""
"Female","41"
"Male","58"
"57",""
"Female","34"
"Male","44"
"58",""
"Female","97"
"Male","73"
"59",""
"Female","30"
"Male","36"
"6",""
"Female","516"
"Male","533"
"60",""
"Female","444"
"Male","502"
"61",""
"Female","29"
"Male","38"
"62",""
"Female","53"
"Male","51"
"63",""
"Female","22"
"Male","32"
"64",""
"Female","19"
"Male","17"
"65",""
"Female","215"
"Male","290"
"66",""
"Female","16"
"Male","24"
"67",""
"Female","10"
"Male","16"
"68",""
"Female","41"
"Male","52"
"69",""
"Female","7"
"Male","17"
"7",""
"Female","494"
"Male","501"
"70",""
"Female","162"
"Male","200"
"71",""
"Female","3"
"Male","9"
"72",""
"Female","23"
"Male","26"
"73",""
"Female","6"
"Male","8"
"74",""
"Female","6"
"Male","8"
"75",""
"Female","80"
"Male","69"
"76",""
"Female","5"
"Male","11"
"77",""
"Female","3"
"Male","6"
"78",""
"Female","7"
"Male","10"
"79",""
"Female","5"
"Male","3"
"8",""
"Female","669"
"Male","703"
"80",""
"Female","54"
"Male","52"
"81",""
"Female","2"
"Male","0"
"82",""
"Female","2"
"Male","3"
"83",""
"Female","3"
"Male","2"
"84",""
"Female","3"
"Male","2"
"85",""
"Female","45"
"Male","39"
"9",""
"Female","359"
"Male","386"
