"Population by disability type","Number"
"Blind/low vision",""
"Female","94"
"Male","80"
"","174"
"Deaf/hard of hearing",""
"Female","82"
"Male","92"
"","174"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","18"
"Male","21"
"","39"
"Mental disable",""
"Female","59"
"Male","62"
"","121"
"Multiple disable",""
"Female","73"
"Male","79"
"","152"
"No disability",""
"Female","34315"
"Male","29050"
"","63365"
"Physical",""
"Female","165"
"Male","243"
"","408"
"Speech problem",""
"Female","71"
"Male","85"
"","156"
