"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","87"
"","124"
"Deaf/hard of hearing",""
"Female","52"
"Male","47"
"","99"
"Deaf-Blind",""
"Female","6"
"Male","5"
"","11"
"Intellectual disable",""
"Female","12"
"Male","13"
"","25"
"Mental disable",""
"Female","35"
"Male","32"
"","67"
"Multiple disable",""
"Female","26"
"Male","23"
"","49"
"No disability",""
"Female","29831"
"Male","25115"
"","54946"
"Physical",""
"Female","136"
"Male","191"
"","327"
"Speech problem",""
"Female","70"
"Male","72"
"","142"
