"Population by disability type","Number"
"Blind/low vision",""
"Female","53"
"Male","48"
"","101"
"Deaf/hard of hearing",""
"Female","48"
"Male","44"
"","92"
"Deaf-Blind",""
"Female","0"
"Male","2"
"","2"
"Intellectual disable",""
"Female","4"
"Male","11"
"","15"
"Mental disable",""
"Female","17"
"Male","13"
"","30"
"Multiple disable",""
"Female","32"
"Male","30"
"","62"
"No disability",""
"Female","8953"
"Male","7446"
"","16399"
"Physical",""
"Female","78"
"Male","108"
"","186"
"Speech problem",""
"Female","21"
"Male","26"
"","47"
