"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","17"
"Male","18"
"Bangali",""
"Female","12"
"Male","13"
"Brahman - Hill",""
"Female","2154"
"Male","1753"
"Chamling",""
"Female","9"
"Male","11"
"Chhetri",""
"Female","2675"
"Male","2113"
"Damai/Dholi",""
"Female","633"
"Male","555"
"Danuwar",""
"Female","43"
"Male","28"
"Dhanuk",""
"Female","9"
"Male","9"
"Gharti/Bhujel",""
"Female","66"
"Male","52"
"Gurung",""
"Female","84"
"Male","77"
"Hajam/Thakur",""
"Female","4"
"Male","11"
"Halwai",""
"Female","43"
"Male","36"
"Kalwar",""
"Female","21"
"Male","21"
"Kami",""
"Female","941"
"Male","813"
"Kathabaniyan",""
"Female","9"
"Male","10"
"Koiri/Kushwaha",""
"Female","8"
"Male","8"
"Limbu",""
"Female","1492"
"Male","1267"
"Magar",""
"Female","1168"
"Male","883"
"Majhi",""
"Female","45"
"Male","45"
"Musalman",""
"Female","5"
"Male","6"
"Newar",""
"Female","1030"
"Male","926"
"Others",""
"Female","41"
"Male","52"
"Rai",""
"Female","3700"
"Male","3291"
"Sanyasi/Dasnami",""
"Female","49"
"Male","55"
"Sarki",""
"Female","66"
"Male","59"
"Sunuwar",""
"Female","34"
"Male","37"
"Tamang",""
"Female","1052"
"Male","865"
"Teli",""
"Female","73"
"Male","74"
"Tharu",""
"Female","38"
"Male","44"
"Undefined Others",""
"Female","29"
"Male","26"
