"Population by disability type","Number"
"Blind/low vision",""
"Female","24"
"Male","29"
"","53"
"Deaf/hard of hearing",""
"Female","43"
"Male","39"
"","82"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","7"
"Male","6"
"","13"
"Mental disable",""
"Female","16"
"Male","14"
"","30"
"Multiple disable",""
"Female","22"
"Male","9"
"","31"
"No disability",""
"Female","13602"
"Male","11024"
"","24626"
"Physical",""
"Female","50"
"Male","99"
"","149"
"Speech problem",""
"Female","26"
"Male","47"
"","73"
