"Population by disability type","Number"
"Blind/low vision",""
"Female","34"
"Male","26"
"","60"
"Deaf/hard of hearing",""
"Female","24"
"Male","29"
"","53"
"Deaf-Blind",""
"Female","3"
"Male","7"
"","10"
"Intellectual disable",""
"Female","11"
"Male","4"
"","15"
"Mental disable",""
"Female","14"
"Male","22"
"","36"
"Multiple disable",""
"Female","41"
"Male","36"
"","77"
"No disability",""
"Female","18783"
"Male","17624"
"","36407"
"Physical",""
"Female","76"
"Male","90"
"","166"
"Speech problem",""
"Female","17"
"Male","42"
"","59"
