"Population by Educational Attainment","Number"
"Beginners",""
"Female","236"
"Male","253"
"","489"
"Graduate and Equivalent",""
"Female","50"
"Male","284"
"","334"
"Intermediate and Equivalent",""
"Female","279"
"Male","713"
"","992"
"Level not Stated",""
"Female","42"
"Male","59"
"","101"
"Lower Secondary (Class 6-8)",""
"Female","1400"
"Male","1954"
"","3354"
"Non Formal Education",""
"Female","63"
"Male","65"
"","128"
"Others",""
"Female","6"
"Male","17"
"","23"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","71"
"","75"
"Primary Education (1-5 Class)",""
"Female","2994"
"Male","3603"
"","6597"
"Secondary Level (Class 9-10)",""
"Female","732"
"Male","1402"
"","2134"
"SLC and Equivalent",""
"Female","571"
"Male","1217"
"","1788"
