"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","138"
"Male","127"
"","265"
"Bantar/Sardar",""
"Female","10"
"Male","16"
"","26"
"Baraee",""
"Female","364"
"Male","353"
"","717"
"Brahman - Hill",""
"Female","82"
"Male","75"
"","157"
"Brahman - Tarai",""
"Female","58"
"Male","51"
"","109"
"Chamar/ Harijan/ Ram",""
"Female","1391"
"Male","1222"
"","2613"
"Chhetri",""
"Female","47"
"Male","37"
"","84"
"Danuwar",""
"Female","491"
"Male","452"
"","943"
"Dhanuk",""
"Female","695"
"Male","660"
"","1355"
"Dhobi",""
"Female","158"
"Male","134"
"","292"
"Dom",""
"Female","51"
"Male","68"
"","119"
"Dusadh/ Pasawan/ Pasi",""
"Female","560"
"Male","537"
"","1097"
"Gaderi/Bhedihar",""
"Female","54"
"Male","56"
"","110"
"Hajam/Thakur",""
"Female","228"
"Male","252"
"","480"
"Halwai",""
"Female","285"
"Male","278"
"","563"
"Kalar",""
"Female","20"
"Male","16"
"","36"
"Kalwar",""
"Female","65"
"Male","54"
"","119"
"Kamar",""
"Female","17"
"Male","9"
"","26"
"Kami",""
"Female","32"
"Male","31"
"","63"
"Kathabaniyan",""
"Female","637"
"Male","615"
"","1252"
"Kayastha",""
"Female","31"
"Male","34"
"","65"
"Kewat",""
"Female","493"
"Male","431"
"","924"
"Khatwe",""
"Female","236"
"Male","215"
"","451"
"Koiri/Kushwaha",""
"Female","1662"
"Male","1458"
"","3120"
"Kumal",""
"Female","12"
"Male","8"
"","20"
"Kumhar",""
"Female","84"
"Male","77"
"","161"
"Kurmi",""
"Female","52"
"Male","42"
"","94"
"Majhi",""
"Female","33"
"Male","31"
"","64"
"Mali",""
"Female","31"
"Male","23"
"","54"
"Mallaha",""
"Female","503"
"Male","476"
"","979"
"Marwadi",""
"Female","238"
"Male","243"
"","481"
"Musahar",""
"Female","646"
"Male","634"
"","1280"
"Musalman",""
"Female","1002"
"Male","930"
"","1932"
"Newar",""
"Female","95"
"Male","72"
"","167"
"Nuniya",""
"Female","30"
"Male","23"
"","53"
"Others",""
"Female","39"
"Male","12"
"","51"
"Rajput",""
"Female","10"
"Male","11"
"","21"
"Sanyasi/Dasnami",""
"Female","64"
"Male","52"
"","116"
"Sonar",""
"Female","47"
"Male","69"
"","116"
"Sudhi",""
"Female","467"
"Male","410"
"","877"
"Tatma/Tatwa",""
"Female","100"
"Male","92"
"","192"
"Teli",""
"Female","1177"
"Male","1095"
"","2272"
"Terai Others",""
"Female","136"
"Male","137"
"","273"
"Tharu",""
"Female","939"
"Male","842"
"","1781"
"Undefined Others",""
"Female","19"
"Male","9"
"","28"
"Yadav",""
"Female","5474"
"Male","5411"
"","10885"
