"Population by Single Year of Age","Number"
"0",""
"Female","184"
"Male","178"
"1",""
"Female","160"
"Male","192"
"10",""
"Female","201"
"Male","170"
"11",""
"Female","180"
"Male","179"
"12",""
"Female","207"
"Male","184"
"13",""
"Female","176"
"Male","189"
"14",""
"Female","168"
"Male","182"
"15",""
"Female","160"
"Male","176"
"16",""
"Female","153"
"Male","157"
"17",""
"Female","129"
"Male","142"
"18",""
"Female","158"
"Male","125"
"19",""
"Female","135"
"Male","69"
"2",""
"Female","195"
"Male","184"
"20",""
"Female","100"
"Male","59"
"21",""
"Female","117"
"Male","73"
"22",""
"Female","152"
"Male","73"
"23",""
"Female","124"
"Male","50"
"24",""
"Female","96"
"Male","60"
"25",""
"Female","135"
"Male","58"
"26",""
"Female","103"
"Male","56"
"27",""
"Female","129"
"Male","73"
"28",""
"Female","110"
"Male","53"
"29",""
"Female","107"
"Male","48"
"3",""
"Female","184"
"Male","183"
"30",""
"Female","125"
"Male","64"
"31",""
"Female","70"
"Male","43"
"32",""
"Female","104"
"Male","44"
"33",""
"Female","64"
"Male","27"
"34",""
"Female","93"
"Male","32"
"35",""
"Female","116"
"Male","69"
"36",""
"Female","91"
"Male","56"
"37",""
"Female","61"
"Male","40"
"38",""
"Female","73"
"Male","34"
"39",""
"Female","65"
"Male","40"
"4",""
"Female","175"
"Male","183"
"40",""
"Female","117"
"Male","63"
"41",""
"Female","66"
"Male","38"
"42",""
"Female","67"
"Male","50"
"43",""
"Female","45"
"Male","43"
"44",""
"Female","59"
"Male","39"
"45",""
"Female","109"
"Male","76"
"46",""
"Female","56"
"Male","28"
"47",""
"Female","57"
"Male","37"
"48",""
"Female","70"
"Male","57"
"49",""
"Female","56"
"Male","51"
"5",""
"Female","212"
"Male","204"
"50",""
"Female","83"
"Male","88"
"51",""
"Female","51"
"Male","56"
"52",""
"Female","65"
"Male","56"
"53",""
"Female","49"
"Male","44"
"54",""
"Female","45"
"Male","38"
"55",""
"Female","64"
"Male","67"
"56",""
"Female","59"
"Male","49"
"57",""
"Female","49"
"Male","43"
"58",""
"Female","54"
"Male","54"
"59",""
"Female","49"
"Male","57"
"6",""
"Female","162"
"Male","159"
"60",""
"Female","88"
"Male","83"
"61",""
"Female","81"
"Male","49"
"62",""
"Female","62"
"Male","48"
"63",""
"Female","51"
"Male","39"
"64",""
"Female","29"
"Male","31"
"65",""
"Female","77"
"Male","54"
"66",""
"Female","45"
"Male","39"
"67",""
"Female","56"
"Male","34"
"68",""
"Female","36"
"Male","49"
"69",""
"Female","30"
"Male","36"
"7",""
"Female","186"
"Male","153"
"70",""
"Female","74"
"Male","56"
"71",""
"Female","34"
"Male","42"
"72",""
"Female","46"
"Male","39"
"73",""
"Female","28"
"Male","31"
"74",""
"Female","14"
"Male","25"
"75",""
"Female","45"
"Male","30"
"76",""
"Female","22"
"Male","29"
"77",""
"Female","11"
"Male","21"
"78",""
"Female","28"
"Male","17"
"79",""
"Female","16"
"Male","13"
"8",""
"Female","197"
"Male","195"
"80",""
"Female","17"
"Male","27"
"81",""
"Female","10"
"Male","9"
"82",""
"Female","1"
"Male","11"
"83",""
"Female","10"
"Male","14"
"84",""
"Female","15"
"Male","6"
"85",""
"Female","38"
"Male","26"
"9",""
"Female","179"
"Male","194"
