"Population by disability type","Number"
"Blind/low vision",""
"Female","54"
"Male","68"
"","122"
"Deaf/hard of hearing",""
"Female","32"
"Male","36"
"","68"
"Deaf-Blind",""
"Female","7"
"Male","6"
"","13"
"Intellectual disable",""
"Female","18"
"Male","12"
"","30"
"Mental disable",""
"Female","33"
"Male","44"
"","77"
"Multiple disable",""
"Female","27"
"Male","35"
"","62"
"No disability",""
"Female","33234"
"Male","32674"
"","65908"
"Physical",""
"Female","145"
"Male","209"
"","354"
"Speech problem",""
"Female","70"
"Male","77"
"","147"
