"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","84"
"Male","85"
"","169"
"Bahing",""
"Female","10"
"Male","9"
"","19"
"Bantaba",""
"Female","5"
"Male","6"
"","11"
"Bantar/Sardar",""
"Female","541"
"Male","475"
"","1016"
"Baraee",""
"Female","43"
"Male","42"
"","85"
"Brahman - Hill",""
"Female","407"
"Male","404"
"","811"
"Brahman - Tarai",""
"Female","22"
"Male","17"
"","39"
"Chamar/ Harijan/ Ram",""
"Female","490"
"Male","449"
"","939"
"Chhetri",""
"Female","276"
"Male","249"
"","525"
"Damai/Dholi",""
"Female","91"
"Male","84"
"","175"
"Danuwar",""
"Female","188"
"Male","155"
"","343"
"Dhanuk",""
"Female","551"
"Male","505"
"","1056"
"Dhobi",""
"Female","30"
"Male","23"
"","53"
"Dom",""
"Female","42"
"Male","59"
"","101"
"Gharti/Bhujel",""
"Female","39"
"Male","36"
"","75"
"Hajam/Thakur",""
"Female","233"
"Male","224"
"","457"
"Halwai",""
"Female","104"
"Male","123"
"","227"
"Kalwar",""
"Female","6"
"Male","6"
"","12"
"Kami",""
"Female","183"
"Male","150"
"","333"
"Kathabaniyan",""
"Female","161"
"Male","175"
"","336"
"Khatwe",""
"Female","410"
"Male","378"
"","788"
"Koiri/Kushwaha",""
"Female","125"
"Male","128"
"","253"
"Kumal",""
"Female","11"
"Male","16"
"","27"
"Kumhar",""
"Female","69"
"Male","67"
"","136"
"Limbu",""
"Female","16"
"Male","10"
"","26"
"Magar",""
"Female","108"
"Male","97"
"","205"
"Mallaha",""
"Female","30"
"Male","32"
"","62"
"Musahar",""
"Female","1460"
"Male","1416"
"","2876"
"Musalman",""
"Female","1241"
"Male","1110"
"","2351"
"Newar",""
"Female","32"
"Male","21"
"","53"
"Others",""
"Female","27"
"Male","27"
"","54"
"Punjabi/Sikh",""
"Female","17"
"Male","15"
"","32"
"Rai",""
"Female","99"
"Male","88"
"","187"
"Rajdhob",""
"Female","188"
"Male","193"
"","381"
"Rajput",""
"Female","15"
"Male","10"
"","25"
"Sanyasi/Dasnami",""
"Female","16"
"Male","15"
"","31"
"Sarki",""
"Female","47"
"Male","48"
"","95"
"Sonar",""
"Female","12"
"Male","10"
"","22"
"Sudhi",""
"Female","23"
"Male","24"
"","47"
"Tamang",""
"Female","96"
"Male","95"
"","191"
"Tatma/Tatwa",""
"Female","51"
"Male","60"
"","111"
"Teli",""
"Female","606"
"Male","580"
"","1186"
"Terai Others",""
"Female","17"
"Male","11"
"","28"
"Tharu",""
"Female","4926"
"Male","4104"
"","9030"
"Undefined Others",""
"Female","13"
"Male","10"
"","23"
"Yadav",""
"Female","1122"
"Male","1005"
"","2127"
