"Population by disability type","Number"
"Blind/low vision",""
"Female","36"
"Male","32"
"","68"
"Deaf/hard of hearing",""
"Female","24"
"Male","25"
"","49"
"Deaf-Blind",""
"Female","9"
"Male","8"
"","17"
"Intellectual disable",""
"Female","9"
"Male","5"
"","14"
"Mental disable",""
"Female","18"
"Male","19"
"","37"
"Multiple disable",""
"Female","15"
"Male","15"
"","30"
"No disability",""
"Female","14078"
"Male","12627"
"","26705"
"Physical",""
"Female","66"
"Male","86"
"","152"
"Speech problem",""
"Female","28"
"Male","29"
"","57"
