"Population by Educational Attainment","Number"
"Beginners",""
"Female","279"
"Male","324"
"","603"
"Graduate and Equivalent",""
"Female","8"
"Male","34"
"","42"
"Intermediate and Equivalent",""
"Female","52"
"Male","197"
"","249"
"Level not Stated",""
"Female","8"
"Male","6"
"","14"
"Lower Secondary (Class 6-8)",""
"Female","511"
"Male","809"
"","1320"
"Non Formal Education",""
"Female","80"
"Male","128"
"","208"
"Others",""
"Female","2"
"Male","3"
"","5"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","13"
"","14"
"Primary Education (1-5 Class)",""
"Female","1472"
"Male","1668"
"","3140"
"Secondary Level (Class 9-10)",""
"Female","174"
"Male","407"
"","581"
"SLC and Equivalent",""
"Female","107"
"Male","272"
"","379"
