"Population by Educational Attainment","Number"
"Beginners",""
"Female","163"
"Male","208"
"Graduate and Equivalent",""
"Female","26"
"Male","191"
"Intermediate and Equivalent",""
"Female","161"
"Male","345"
"Level not Stated",""
"Female","39"
"Male","84"
"Lower Secondary (Class 6-8)",""
"Female","1066"
"Male","1680"
"Non Formal Education",""
"Female","7"
"Male","30"
"Others",""
"Female","6"
"Male","9"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","31"
"Primary Education (1-5 Class)",""
"Female","2621"
"Male","3205"
"Secondary Level (Class 9-10)",""
"Female","499"
"Male","1129"
"SLC and Equivalent",""
"Female","335"
"Male","705"
