"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","41"
"Male","33"
"","74"
"Bangali",""
"Female","6"
"Male","7"
"","13"
"Bantar/Sardar",""
"Female","531"
"Male","494"
"","1025"
"Baraee",""
"Female","29"
"Male","24"
"","53"
"Brahman - Hill",""
"Female","202"
"Male","191"
"","393"
"Brahman - Tarai",""
"Female","6"
"Male","6"
"","12"
"Chamar/ Harijan/ Ram",""
"Female","307"
"Male","303"
"","610"
"Chhetri",""
"Female","100"
"Male","98"
"","198"
"Damai/Dholi",""
"Female","24"
"Male","22"
"","46"
"Dhanuk",""
"Female","429"
"Male","393"
"","822"
"Dhimal",""
"Female","38"
"Male","34"
"","72"
"Dom",""
"Female","37"
"Male","40"
"","77"
"Dusadh/ Pasawan/ Pasi",""
"Female","24"
"Male","24"
"","48"
"Gaderi/Bhedihar",""
"Female","21"
"Male","24"
"","45"
"Gurung",""
"Female","82"
"Male","65"
"","147"
"Hajam/Thakur",""
"Female","205"
"Male","185"
"","390"
"Halwai",""
"Female","166"
"Male","158"
"","324"
"Jhangad/ Dhagar",""
"Female","2243"
"Male","2038"
"","4281"
"Kalwar",""
"Female","11"
"Male","11"
"","22"
"Kamar",""
"Female","8"
"Male","10"
"","18"
"Kami",""
"Female","104"
"Male","109"
"","213"
"Kathabaniyan",""
"Female","8"
"Male","10"
"","18"
"Kayastha",""
"Female","52"
"Male","42"
"","94"
"Khatwe",""
"Female","14"
"Male","15"
"","29"
"Khawas",""
"Female","9"
"Male","10"
"","19"
"Koiri/Kushwaha",""
"Female","613"
"Male","584"
"","1197"
"Kumal",""
"Female","33"
"Male","23"
"","56"
"Kumhar",""
"Female","46"
"Male","35"
"","81"
"Limbu",""
"Female","14"
"Male","9"
"","23"
"Lohar",""
"Female","18"
"Male","17"
"","35"
"Magar",""
"Female","113"
"Male","103"
"","216"
"Majhi",""
"Female","180"
"Male","184"
"","364"
"Mallaha",""
"Female","92"
"Male","84"
"","176"
"Marwadi",""
"Female","76"
"Male","86"
"","162"
"Munda",""
"Female","72"
"Male","58"
"","130"
"Musahar",""
"Female","1608"
"Male","1521"
"","3129"
"Musalman",""
"Female","1388"
"Male","1307"
"","2695"
"Newar",""
"Female","71"
"Male","54"
"","125"
"Others",""
"Female","39"
"Male","23"
"","62"
"Rai",""
"Female","96"
"Male","81"
"","177"
"Rajbhar",""
"Female","18"
"Male","16"
"","34"
"Sarbaria",""
"Female","196"
"Male","177"
"","373"
"Sarki",""
"Female","15"
"Male","10"
"","25"
"Sonar",""
"Female","17"
"Male","16"
"","33"
"Sudhi",""
"Female","4"
"Male","7"
"","11"
"Sunuwar",""
"Female","8"
"Male","7"
"","15"
"Tamang",""
"Female","13"
"Male","13"
"","26"
"Tatma/Tatwa",""
"Female","7"
"Male","8"
"","15"
"Teli",""
"Female","1327"
"Male","1382"
"","2709"
"Terai Others",""
"Female","65"
"Male","57"
"","122"
"Tharu",""
"Female","5456"
"Male","5148"
"","10604"
"Undefined Others",""
"Female","10"
"Male","10"
"","20"
"Yadav",""
"Female","1629"
"Male","1565"
"","3194"
